k/n,10,20,30,40,50
1000,"[257.2, 256.9]","[259.25, 258.7]","[259.3666666666667, 260.3]","[258.875, 260.175]","[258.74, 260.02]"
1500,"[394.5, 396.9]","[394.6, 396.65]","[396.1333333333333, 398.06666666666666]","[397.225, 397.7]","[395.54, 398.2]"
2000,"[535.7, 542.2]","[537.7, 544.5]","[537.6333333333333, 542.3333333333334]","[537.25, 543.0]","[535.32, 543.86]"
2500,"[677.0, 693.3]","[682.05, 698.45]","[683.1, 697.7]","[682.225, 692.2]","[682.06, 690.02]"
3000,"[829.5, 842.6]","[827.95, 853.65]","[832.1333333333333, 844.8666666666667]","[833.625, 848.6]","[831.86, 851.0]"
3500,"[985.6, 1011.3]","[976.25, 1017.3]","[981.1333333333333, 1016.9666666666667]","[982.725, 1016.45]","[983.02, 1010.78]"
