k/n,10,20,30,40,50
1000,"[283.2, 294.9]","[291.2, 293.85]","[290.93333333333334, 296.23333333333335]","[287.65, 292.425]","[289.18, 293.28]"
1500,"[461.3, 470.2]","[461.4, 477.2]","[459.9, 474.46666666666664]","[460.675, 472.675]","[459.9, 468.06]"
2000,"[647.0, 680.2]","[641.8, 671.65]","[647.8666666666667, 675.1666666666666]","[641.075, 671.45]","[640.98, 667.38]"
2500,"[842.7, 891.2]","[828.45, 871.25]","[834.5333333333333, 882.1666666666666]","[832.2, 884.1]","[840.28, 881.46]"
3000,"[1042.8, 1123.8]","[1029.05, 1103.8]","[1034.9666666666667, 1119.1]","[1027.0, 1105.9]","[1025.32, 1103.88]"
3500,"[1217.3, 1365.0]","[1213.65, 1349.8]","[1221.3333333333333, 1339.9333333333334]","[1226.625, 1347.625]","[1221.34, 1352.26]"
