k/n,10,20,30,40,50
1000,"[256.4, 279.6]","[257.4, 277.8]","[259.4, 278.56666666666666]","[258.95, 279.45]","[259.62, 278.58]"
1500,"[395.5, 437.1]","[395.5, 433.2]","[396.03333333333336, 434.3]","[397.3, 433.95]","[395.66, 431.26]"
2000,"[538.5, 600.3]","[536.55, 599.15]","[535.2666666666667, 599.4333333333333]","[536.375, 595.45]","[537.92, 599.58]"
2500,"[680.1, 770.3]","[682.6, 767.8]","[682.9333333333333, 766.4333333333333]","[683.025, 766.95]","[682.88, 770.8]"
3000,"[835.6, 940.7]","[828.9, 939.35]","[832.3, 937.2333333333333]","[831.9, 937.625]","[831.92, 943.76]"
3500,"[987.2, 1121.4]","[984.8, 1123.85]","[981.0, 1128.3666666666666]","[979.825, 1122.2]","[980.18, 1118.02]"
