k/n,10,20,30,40,50
1000,"[259.1, 259.5]","[259.2, 260.1]","[259.23333333333335, 259.4]","[258.175, 258.675]","[259.12, 259.26]"
1500,"[394.5, 396.6]","[395.55, 397.9]","[395.3666666666667, 396.6666666666667]","[395.3, 397.925]","[395.22, 398.48]"
2000,"[540.3, 537.1]","[536.8, 540.55]","[540.2666666666667, 540.1]","[537.85, 541.15]","[536.06, 538.42]"
2500,"[682.3, 682.8]","[683.6, 686.25]","[685.6666666666666, 686.0]","[681.2, 686.725]","[681.14, 685.28]"
3000,"[829.0, 829.8]","[832.65, 836.55]","[831.3666666666667, 836.4666666666667]","[830.1, 833.625]","[830.64, 835.86]"
3500,"[986.4, 978.4]","[982.55, 986.75]","[981.3, 984.8]","[979.75, 982.95]","[983.68, 982.92]"
