k/n,2,20,30,40,50
1000,"[309.8, 364.9]","[297.5, 348.45]","[299.76666666666665, 357.7]","[298.15, 352.05]","[301.62, 355.64]"
1500,"[510.3, 561.7]","[496.05, 557.35]","[502.3666666666667, 560.4]","[502.225, 566.425]","[501.56, 560.42]"
2000,"[726.0, 770.7]","[728.6, 772.2]","[730.1, 770.6]","[731.375, 768.5]","[727.34, 766.62]"
2500,"[955.6, 973.1]","[952.7, 973.2]","[957.3666666666667, 980.1333333333333]","[954.275, 979.725]","[963.54, 984.04]"
3000,"[1194.8, 1179.9]","[1188.05, 1180.85]","[1193.4666666666667, 1187.8]","[1191.45, 1176.5]","[1189.4, 1190.78]"
3500,"[1419.7, 1406.6]","[1421.7, 1386.55]","[1420.6333333333334, 1394.9]","[1424.5, 1397.725]","[1425.26, 1396.76]"
