k/n,10,20,30,40,50
1000,"[296.4, 279.9]","[299.1, 277.15]","[299.9, 281.73333333333335]","[299.45, 280.2]","[303.16, 283.12]"
1500,"[496.0, 438.2]","[503.3, 449.7]","[503.43333333333334, 449.93333333333334]","[503.65, 450.4]","[505.16, 450.5]"
2000,"[743.2, 628.4]","[735.85, 637.25]","[727.7333333333333, 633.7]","[732.525, 626.875]","[724.54, 626.58]"
2500,"[954.3, 814.6]","[964.3, 817.4]","[966.3333333333334, 828.3666666666667]","[962.175, 814.975]","[956.5, 818.98]"
3000,"[1191.7, 1020.1]","[1193.75, 1024.65]","[1191.6333333333334, 1013.1]","[1196.075, 1027.25]","[1190.18, 1023.84]"
3500,"[1418.3, 1227.9]","[1427.85, 1225.5]","[1418.7666666666667, 1224.1666666666667]","[1426.05, 1230.825]","[1426.28, 1231.42]"
