k/n,10,20,30,40,50
1000,"[302.3, 248.0]","[297.7, 248.25]","[297.76666666666665, 250.4]","[302.875, 249.65]","[302.82, 247.76]"
1500,"[503.6, 369.8]","[509.6, 367.95]","[503.9, 367.43333333333334]","[511.825, 366.025]","[506.68, 370.74]"
2000,"[738.3, 491.1]","[740.9, 489.95]","[723.4, 486.93333333333334]","[736.85, 486.525]","[728.14, 492.18]"
2500,"[954.1, 619.1]","[956.05, 611.2]","[954.8666666666667, 623.5666666666667]","[953.625, 620.25]","[960.34, 619.22]"
3000,"[1188.8, 764.7]","[1185.9, 759.1]","[1195.4, 762.8333333333334]","[1177.275, 764.125]","[1186.58, 764.1]"
3500,"[1435.3, 921.3]","[1422.3, 911.05]","[1429.0666666666666, 911.6666666666666]","[1429.0, 913.45]","[1423.4, 911.92]"
