k/n,2,20,30,40,50
1000,"[317.9, 373.7]","[315.55, 360.4]","[315.76666666666665, 367.53333333333336]","[315.625, 360.3]","[315.22, 370.6]"
1500,"[515.0, 563.0]","[524.3, 546.95]","[518.2666666666667, 562.6666666666666]","[520.375, 557.65]","[524.56, 552.34]"
2000,"[740.0, 735.0]","[741.1, 753.7]","[738.2333333333333, 742.3]","[740.225, 737.0]","[734.62, 751.52]"
2500,"[963.1, 939.9]","[967.75, 926.95]","[957.2, 918.6]","[959.225, 924.0]","[957.8, 932.44]"
3000,"[1157.6, 1110.4]","[1173.0, 1103.45]","[1170.2333333333333, 1113.3666666666666]","[1171.1, 1116.4]","[1166.6, 1103.0]"
3500,"[1366.6, 1291.2]","[1369.9, 1297.45]","[1370.2333333333333, 1313.3666666666666]","[1370.775, 1294.45]","[1373.74, 1296.16"
