k/n,10,20,30,40,50
1000,"[299.9, 355.5]","[299.85, 357.55]","[300.5, 353.23333333333335]","[298.525, 356.275]","[301.58, 355.8]"
1500,"[508.3, 551.7]","[505.05, 545.45]","[503.6, 550.6666666666666]","[507.675, 541.275]","[500.12, 547.26]"
2000,"[746.2, 730.9]","[717.1, 732.2]","[722.9666666666667, 736.8333333333334]","[731.45, 730.6]","[733.84, 725.84]"
2500,"[962.3, 919.2]","[968.7, 921.85]","[964.2333333333333, 922.1666666666666]","[958.8, 922.75]","[963.74, 918.48]"
3000,"[1199.1, 1125.6]","[1186.4, 1115.35]","[1187.4666666666667, 1112.4]","[1184.575, 1115.675]","[1193.28, 1104.68]"
3500,"[1419.1, 1299.3]","[1421.45, 1302.6]","[1417.2, 1296.2333333333333]","[1423.525, 1296.325]","[1423.36, 1303.74]"
